JRSID	Genotype	DelawareID	Date	Host Kill Percentage of Good Eggs	Mean Larval Weight 
FP3001	Pe-B-SL	201	7/30/19	0	0.04
FP3002	Pe-B-SL	202	7/30/19	0.17	0.05
FP3003	Pe-B-SL	203	7/30/19	0.1	0.03
FP3004	Pe-B-SL	204	7/30/19	0.11	0.09
FP3005	Pe-C-SS	207	7/30/19	0.44	0.05
FP3006	Pe-C-SS	208	7/30/19	0.36	0.05
FP3007	Pe-C-SS	209	7/30/19	0.17	0.02
FP3009	Pe-C-SS	211	7/30/19	0	0.05
FP3010	Pe-C-SS	212	7/30/19	0	0.03
FP3011	Pe-C-SS	213	7/30/19	0	0.07
FP3012	Pe-C-SS	214	7/30/19	0.17	0.04
FP3013	Pe-C-SS	216	7/30/19	0	0.05
FP3014	Pe-C-SS	217	7/30/19	0	0.05
FP3015	Pe-C-SS	218	7/30/19	0	0.07
FP3016	Pe-D-SS	219	7/30/19	0.13	0.01
FP3017	Pe-D-SS	220	7/30/19	0	0.03
FP3018	Pe-D-SS	221	7/30/19	0.27	0.03
FP3019	Pe-D-SS	223	7/30/19	0.38	0.03
FP3020	Pe-D-SS	224	7/30/19	0.18	0.02
FP3021	Pe-D-SS	226	7/30/19	0	0.05
FP3022	Pe-D-SS	227	7/30/19	0	0.05
FP3023	Pe-D-SS	228	7/30/19	0.09	0.08
FP3024	Pe-D-SS	229	7/30/19	0.22	0.03
FP3025	Pe-D-SS	230	7/30/19	0	0.06
FP3026	Pe-E-LL	231	7/30/19	0	0.02
FP3027	Pe-E-LL	232	7/30/19	0	0.02
FP3028	Pe-E-LL	233	7/30/19	0.09	0.02
FP3029	Pe-E-LL	234	7/30/19	0.14	0.01
FP3030	Pe-E-LL	235	7/30/19	0.09	0.02
FP3031	Pe-E-LL	236	7/30/19	0	0.07
FP3032	Pe-E-LL	238	7/30/19	0.27	0.03
FP3033	Pe-E-LL	239	7/30/19	0	0.04
FP3034	Pe-F-LL	241	7/30/19	0.29	0.04
FP3035	Pe-F-LL	242	7/30/19	0.17	0.08
FP3036	Pe-G-LL	245	7/30/19	0	0.03
FP3037	Pe-G-LL	246	7/30/19	0	0.04
FP3038	Pe-G-LL	247	7/30/19	0	0.1
FP3039	Pe-G-LL	248	7/30/19	0	0.07
FP3040	Pe-G-LL	249	7/30/19	0.44	0.06
FP3041	Pe-H-LL	253	7/30/19	0.56	0.05
FP3042	Pe-H-LL	254	7/30/19	0.5	0.04
FP3043	Pe-H-LL	255	7/30/19	0.25	0.02
FP3044	Pe-H-LL	256	7/30/19	0	0.06
FP3045	Pe-H-LL	257	7/30/19	0.5	0.02
FP3046	Pe-H-LL	258	7/30/19	0.45	0.03
FP3048	Pe-H-LL	260	7/30/19	0	ISSUE
FP3049	Pe-H-LL	261	7/30/19	0.42	0.02
FP3050	Pe-H-LL	262	7/30/19	0.5	0.03
FP3051	Pe-H-LL	263	7/30/19	0.1	0.04
FP3052	Pe-H-LL	264	7/30/19	0.45	0.08
FP3053	Pe-H-LL	265	7/30/19	0	0.03
FP3054	Pe-H-LL	266	7/30/19	0	0.05
FP3055	Pe-H-LL	267	7/30/19	0	0.1
FP3056	Pe-H-LL	268	7/30/19	0.09	0.05
FP3058	Pe-H-LL	270	7/30/19	0	0.06
FP3059	Pe-H-LL	271	7/30/19	0.08	0.03
FP3060	Pe-H-LL	272	7/30/19	0.09	0.07
FP3061	Pe-H-LL	273	7/30/19	0.25	0.08
FP3062	Pe-H-LL	274	7/30/19	0	0.06
FP3063	Pe-H-LL	275	7/30/19	0	0.03
FP3064	Pe-H-LL	276	7/30/19	0.11	0.06
FP3065	Pe-I-LL	279	7/30/19	0.36	0.03
FP3066	Pe-I-LL	280	7/30/19	0.5	0.03
FP3067	Pe-I-LL	281	7/30/19	0.25	0.03
FP3068	Pe-I-LL	282	7/30/19	0.08	0.02
FP3069	Pe-I-LL	283	7/30/19	0.71	0.01
FP3070	Pe-I-LL	284	7/30/19	0.33	0.08
FP3072	Pe-I-LL	286	7/30/19	0	0.02
FP3073	Pe-I-LL	287	7/30/19	0.55	0.02
FP3074	Pe-I-LL	288	7/30/19	0.27	0.04
FP3075	Pe-I-LL	289	7/30/19	0.18	0.03
FP3076	Pe-I-LL	290	7/30/19	0	0.06
FP3077	Pe-I-LL	291	7/30/19	0.2	0.04
FP3078	Pe-I-LL	292	7/30/19	0.27	0.03
FP3079	Pe-I-LL	293	7/30/19	0.2	0.06
FP3082	Pe-I-LL	296	7/30/19	0	0.02
FP3083	Pe-I-LL	297	7/30/19	0	0.08
FP3085	Pe-I-LL	299	7/30/19	0.1	0.05
FP3087	Pe-I-LL	301	7/30/19	0	0.06
FP3088	Pe-I-LL	302	7/30/19	0.08	0.06
FP3089	Pe-I-LL	303	7/30/19	0.1	0.09
FP3090	Pe-I-LL	304	7/30/19	0	0.08
FP3091	Pe-I-LL	305	7/30/19	0	0.08
FP3092	Pe-I-LL	306	7/30/19	0.27	0.04
FP3093	Pe-I-LL	307	7/30/19	0	0.09
FP3094	Pe-I-LL	309	7/30/19	0	0.07
FP3095	Pe-J-LL	311	7/30/19	0	0.03
FP3096	Pe-J-LL	312	7/30/19	0	0.05
FP3097	Pe-J-LL	313	7/30/19	0	0.03
FP3098	Pe-J-LL	314	7/30/19	0.18	0.02
FP3099	Pe-J-LL	315	7/30/19	0.45	0.03
FP3100	Pe-J-LL	316	7/30/19	0.22	0.05
FP3101	Pe-J-LL	319	7/31/19	0	0.09
FP3102	Pe-K-LL	320	7/31/19	0	0.06
FP3105	Pe-K-LL	323	7/31/19	0	0.05
FP3107	Pe-K-LL	325	7/31/19	0	0.05
FP3108	Pe-K-LL	326	7/31/19	0.64	0.02
FP3109	Pe-K-LL	327	7/31/19	0	0.06
FP3110	Pe-K-LL	328	7/31/19	0.1	0.03
FP3112	Pe-K-LL	330	7/31/19	0.17	0.03
FP3113	Pe-K-LL	331	7/31/19	0.09	0.06
FP3114	Pe-K-LL	332	7/31/19	0	0.08
FP3115	Pe-K-LL	333	7/31/19	0.2	0.05
FP3116	Pe-K-LL	334	7/31/19	0.25	0.01
FP3117	Pe-K-LL	335	7/31/19	0.5	0.02
